ride_id,driver_id
78A5D3,4922405
78A5D3,5332197
78A604,5303157
78A604,3355215
78A604,5265495
78A6T1,3421486
78A6T1,5169068
78A76B,5233854
78A76B,5374557
78A76F,5303372
78A76F,3810107
78A78G,4558413
78A91I,4612373
78A9A2,3960151
78A9A2,4827440
78A9A2,3019419
78A9A2,3876597
78A9A2,5249531
78A9A2,5325471
78A9K6,5309242
78A9K6,3980730
78A9K6,5367878
78AAOR,5309104
78AAOR,4735867
78AAOR,4735855
78AC5Q,3090872
78ACT1,4692622
78ACTG,2930333
78ACTG,4742363
78ACTG,5255324
78AEN0,4735855
78AIDD,3978167
78AIDD,5304683
78AIDD,4393131
78AIDD,5187545
78AJF3,5141340
78AL18,4424797
78ALB8,3427546
78ALB8,5226786
78ALB8,5256960
78ALB8,4243699
78ALB8,5273061
78AMA7,4862247
78AMA7,4837771
78AMA7,5051111
78AOK4,4960857
78AOK4,4424797
78AP1P,4471223
78AP1P,5175155
78ARLQ,4862247
78ARLQ,4742363
78ARP0,4486334
78ARP0,5018387
78ARP0,5360601
78ASE1,5327331
78ASE1,5353917
78ASE1,5256384
78ASRL,5353917
78ASRL,5327331
78ASRL,4672272
78ATLJ,3854963
78ATME,5309104
78B017,5085020
78B017,5360289
78B017,5207903
78B230,3635024
78B230,5137931
78B230,5074148
78B29N,4301381
78B2HG,4613032
78B2J8,4940895
78B3P3,2930508
78B3P3,5164551
78B3SO,2870173
78B3SO,4155397
78B3SO,4742363
78B3SO,5360321
78B3SO,5348826
78B3SO,4035227
78B3SO,5311003
78B4CB,4027965
78B4CB,4935252
78B4CB,3980110
78B4CB,5264739
78B4QL,5159884
78B5IS,5224535
78B5IS,5219854
78B5IS,4692530
78B5IS,4773361
78B7TC,4650888
78B7TC,4524411
78B8B2,3623101
78B8B2,5204624
78BB3R,4193386
78BBD2,5168997
78BBEB,4748299
78BBEB,4112660
78BBEB,5388708
78BBEB,3227153
78BC46,3820852
78BD9Q,5116282
78BD9Q,4346771
78BD9Q,3876324
78BDBE,4736784
78BDPJ,4964811
78BE8A,4746093
78BF8A,4348071
78BF8A,5011029
78BG4I,3394918
78BG4I,5106446
78BG4I,5374398
78BGPB,4465526
78BHEA,5333150
78BHEA,5293143
78BHEA,5069685
78BHNE,5113855
78BHNE,4809311
78BHNE,5390040
78BHNE,3421197
78BICG,5354597
78BICG,5019237
78BIRQ,4465421
78BJ4A,5051893
78BJEC,4888336
78BJEC,3870107
78BKES,5325100
78BKES,5219143
78BKES,4791202
78BKPM,5325100
78BKPM,3832925
78BL1O,5354597
78BL1O,5368344
78BL1O,5255479
78BL1O,5325020
78BL1O,3762058
78BL1O,5165267
78BLHH,5339129
78BLHH,5200975
78BLHH,4856723
78BLRR,4809311
78BLRR,5250030
78BLRR,2894871
78BMAO,5205524
78BMJS,5026015
78BMJS,5026118
78BMJS,5265138
78BMJS,5285826
78BMJS,5114627
78BMT4,4243699
78BN2T,3243415
78BNFN,4856723
78BNFN,4705535
78BNFN,5339129
78BO6I,5277578
78BO8O,5210868
78BPMO,4111955
78BR9P,4323329
78BS0A,4019859
78BS0A,4920430
78BS0A,5052981
78BS0A,5270894
78BS0A,4809311
78BSFQ,5114957
78BSLF,5317096
78BT64,4824444
78C002,5348716
78C01O,5219909
78C01O,5204436
78C01O,2937666
78C01O,5217691
78C061,5197278
78C061,4291437
78C061,5011402
78C061,5264597
78C24I,4212117
78C24I,4759527
78C24I,5226907
78C2IB,4723107
78C312,2922157
78C312,5032504
78C3SH,5329133
78C3SH,5357817
78C3SH,5200975
78C3SH,5265992
78C3SH,5034028
78C3SH,5361875
78C3SH,4965822
78C443,3132746
78C443,5256251
78C443,4322991
78C69P,5139500
78C70H,5340237
78C70H,4323329
78C70H,5071047
78C7DQ,5197330
78C7EC,3527160
78C7EC,5060587
78C7NN,4195199
78C7NN,5017506
78C7NN,5218774
78C7NN,5242099
78C7NN,5323904
78C7NN,5361234
78C7SD,4980010
78C9QQ,5207903
78CC4S,4424797
78CCA6,4691104
78CCM1,4964811
78CCM1,4965828
78CCM1,5332197
78CCM1,5367878
78CCM1,4705535
78CDMP,5309242
78CDQ4,2926142
78CESS,5069161
78CFR7,5280558
78CGJ6,5170700
78CGJ6,5361023
78CGJ6,5256251
78CGJ6,5251626
78CGT9,5285826
78CGT9,4493566
78CGT9,4964684
78CGT9,5122168
78CGT9,5265138
78CGT9,3252143
78CH5J,4881514
78CH5J,3832175
78CH9B,5250079
78CH9B,5025622
78CH9B,5224595
78CH9B,5318423
78CH9B,5334090
78CH9B,5052981
78CH9B,5327808
78CJC7,4156948
78CJRE,5252585
78CJRE,4964684
78CJRE,5285826
78CJRE,5249560
78CJRE,5309384
78CJRE,5289364
78CJRE,5302455
78CKA9,4854712
78CKHB,5206133
78CL0P,5361031
78CL0P,3707646
78CL0P,3954133
78CLBC,4414940
78CLBC,5069685
78CLBC,5285826
78CLBC,5226534
78CLBC,5310359
78CLBC,4611227
78CLL3,5255932
78CLL3,4980869
78CLL3,4673799
78CM1F,5164805
78CM1F,4424145
78CM1F,5359727
78CM1F,5116282
78CM1F,5289561
78CM1F,5302183
78CM1F,3203592
78CM5D,5309242
78CM5D,5017506
78CM5D,5354553
78CM61,5295742
78CM61,4845237
78CMQJ,5333945
78CMQJ,5116282
78CMQJ,5364223
78CMQJ,4416220
78CNDG,4881514
78CNDG,3353278
78COK7,5217312
78COK7,4024081
78COP2,5226849
78COS2,5054538
78COS2,5249965
78COS2,5084423
78COS2,5116282
78COS2,5354133
78CP03,5104140
78CP03,5341186
78CP1S,5159744
78CP7E,5069653
78CP7E,4970994
78CP7E,3620819
78CP7E,4881523
78CP7E,3401681
78CQ2M,5176672
78CQ2M,5289574
78CQ2M,5276173
78CQ2M,5295219
78CQ2M,5130068
78CQ2M,5217691
78CQ6F,2870173
78CQ6F,5295219
78CQ6F,4207288
78CQ6F,5289574
78CQ6F,5058736
78CQL5,2940838
78CQL5,4416220
78CQL5,4207288
78CQL5,5210850
78CQS8,5275594
78CQS8,4525331
78CR5N,5285826
78CR5N,4678744
78CR5N,5381846
78CRR6,4986157
78CSMQ,4487064
78CSMQ,5340237
78CSMQ,4716125
78CSMQ,5374110
78CSMQ,4626859
78CSMQ,3060896
78CSMQ,3644399
78CSOG,4207288
78CSOG,5333945
78CSOG,5304149
78CSOG,4532374
78CSPN,5304149
78CSPN,4420518
78CT58,5170666
78CT58,5230208
78CT58,5255389
78CT58,4740161
78CT58,4894110
78CT58,4753413
78CTCE,5206216
78D020,5195083
78D1I2,5107074
78D1I2,5364132
78D1I2,5165907
78D1I2,4915570
78D1I2,5383463
78D1I2,5359727
78D1I2,4649420
78D24G,4465138
78D29C,3475712
78D29C,5374398
78D29C,4728671
78D2CA,5029226
78D2I0,2937666
78D2I0,3609933
78D2I0,5137945
78D2I0,5249464
78D49D,4624228
78D49D,2913912
78D49D,5224595
78D4K2,4420518
78D4K2,4424145
78D4K2,5374141
78D4K2,5295088
78D4K2,5313093
78D4K2,2870173
78D4K2,5165566
78D69P,3681569
78D69P,4579638
78D69P,4984851
78D69P,4414940
78D69P,4301381
78D69P,4712745
78D6S3,5130497
78D6S3,5122519
78D74C,4798667
78D7FM,5324300
78D7FM,4493375
78D7FM,4024081
78D7FM,3646812
78D7KB,2870173
78D7KB,4826928
78D8D0,3145120
78D941,5139894
78D9HT,5291911
78DCL9,5368290
78DCL9,5251522
78DCL9,4959687
78DDRQ,5362332
78DDRQ,4959687
78DDRR,5309384
78DDRR,4592166
78DFL2,3668460
78DI6H,4650483
78DIN9,4633592
78DIN9,5263080
78DITA,4254553
78DITA,4510572
78DJF9,4360090
78DJF9,5265446
78DJF9,5174479
78DJF9,4921056
78DL7P,4052610
78DL7P,4825053
78DL7P,5265493
78DL7P,5339230
78DNN3,4259559
78DO9K,5205270
78DO9K,3946994
78DP7E,3143007
78DPH6,5125852
78DPH6,4215795
78DQD1,4414917
78DQD1,3060896
78DQM0,5352906
78DQM0,4358221
78DQM0,5265446
78DQM0,4736223
78DQM0,3980730
78DQM0,4186809
78DQM0,3936119
78E2F6,4742363
78E2F6,5311075
78E3F1,5257861
78E52S,5374110
78E52S,5333150
78E59S,4868253
78E59S,5272555
78EFTR,5244851
78EFTR,5066368
78EFTR,5008987
78EJCG,5332342
78EJCG,3367068
78EJCG,5006017
78EKA8,5326464
78EKCM,5175155
78EKCM,4572797
78EKLT,5355121
78ELAP,3203592
78EMGQ,4637864
78EMGQ,2937666
78ENBQ,4936533
78ENBQ,4921112
78ENIB,4745683
78ENIB,5205524
78ENNT,5074355
78EQDL,3612345
78EQN6,5200975
78EQN6,4291437
78EQN6,5361875
78EQN6,5204624
78EQN6,4825983
78EQN6,5333002
78EQN6,4472358
78EQN6,2926170
78ES33,4942239
78ES8N,5358553
78ES8N,5318423
78ES8N,5289626
78ES8N,5340520
78F08O,4516334
78F08O,5373555
78F08O,5319635
78F322,5165758
78F322,5106446
78F5DG,5114627
78F5GL,3978052
78F5GL,4028165
78F757,5374235
78F757,5285826
78F757,4679813
78F7B0,5062239
78F7B0,4606067
78F8RR,4314261
78F8TK,5316186
78F8TK,5051117
78F903,5245536
78FAQI,5122572
78FAQI,4912442
78FAQI,4984302
78FB7K,5170169
78FB7K,4964794
78FB8P,5266272
78FBD4,5361511
78FCO7,4826928
78FCO7,4881514
78FDMC,5327808
78FEJI,3646812
78FFB7,4597921
78FFD4,3946079
78FFD4,5264040
78FGQF,5357726
78FGQF,5122730
78FGQF,4958007
78FGQF,5159884
78FGQF,5372865
78FGQF,4734526
78FGQF,5397221
78FHEN,5248798
78FI5I,5026569
78FIHO,5188420
78FJQ6,5248382
78FJQ6,4964684
78FKD3,4724552
78FKH5,4970994
78FKJQ,4881523
78FKJQ,5361523
78FKL1,5383463
78FKL1,4751636
78FKL1,3435189
78FKL1,4059435
78FL72,5122730
78FL72,5366284
78FL72,4541864
78FL72,5397221
78FLD7,4869098
78FLD7,5318396
78FLL1,4233487
78FLL1,4236070
78FNCM,5317465
78FNCM,5395841
78FNKO,5317465
78FNTK,5339129
78FNTK,5374170
78FODG,4524411
78FOKA,5173784
78FOKA,5066380
78FOKA,5295810
78FOSF,5255916
78FP4B,5122730
78FP4B,5145138
78FP4B,5069166
78FP4B,5356159
78FP4B,5324858
78FPKQ,5264040
78FPKQ,5005684
78FPKQ,4834241
78FQ3T,3891358
78FQ3T,5395399
78FQ3T,4571445
78FQ3T,5286057
78FQ3T,5106446
78FQ80,4794380
78FQ8L,4673275
78FQ8L,5250178
78FQQF,5204223
78FQQF,5174762
78FQQF,4631445
78FRAK,4705148
