Driver_ID,total_assigned_requests,total_completed_trips,Assignment_to_completion_ratio,Average_Ride_Distance,Average_Rating,Average_Undiscounted_Fare,Average_Ride_Duration,Total_Trip
4922405,228,43,0.19,4880,4,115,983,176
5332197,176,30,0.17,4867,4,111,1029,80
5303157,293,39,0.13,4237,4,102,907,153
3355215,147,25,0.17,4375,4,104,915,119
5265495,116,26,0.22,4472,4,105,925,104
3421486,80,3,0.04,4474,4,105,927,35
5169068,39,29,0.74,4500,4,105,923,159
5233854,71,36,0.51,4487,4,104,908,90
5374557,121,32,0.26,4485,4,104,920,128
5303372,100,25,0.25,4427,4,103,908,143
3810107,64,30,0.47,4458,4,103,910,139
4558413,11,5,0.45,4453,4,103,909,31
4612373,45,15,0.33,4457,4,103,906,77
3960151,8,0,0.0,4457,4,103,906,2
4827440,12,3,0.25,4451,4,103,907,63
3019419,77,16,0.21,4476,4,103,913,31
3876597,24,16,0.67,4499,4,103,918,31
5249531,252,48,0.19,4389,4,102,878,185
5325471,97,68,0.7,4436,4,102,895,112
5309242,317,71,0.22,4473,4,102,919,196
3980730,224,2,0.01,4472,4,102,919,8
5367878,307,72,0.23,4496,4,102,929,314
5309104,109,29,0.27,4479,4,102,926,171
4735867,259,46,0.18,4550,4,103,934,171
4735855,244,57,0.23,4612,4,104,938,251
3090872,371,50,0.13,4622,4,104,943,198
4692622,15,4,0.27,4627,4,104,944,8
2930333,127,3,0.02,4620,4,104,943,13
4742363,218,0,0.0,4617,4,104,944,10
5255324,312,20,0.06,4604,4,104,940,50
3978167,137,47,0.34,4589,4,103,940,154
5304683,101,6,0.06,4581,4,103,939,39
4393131,3,6,2.0,4574,4,103,938,11
5187545,105,20,0.19,4519,4,102,929,134
5141340,106,71,0.67,4522,4,102,929,206
4424797,136,40,0.29,4502,4,102,935,149
3427546,13,0,0.0,4502,4,102,935,11
5226786,91,27,0.3,4484,4,102,930,90
5256960,52,0,0.0,4483,4,102,931,90
4243699,56,11,0.2,4495,4,102,933,167
5273061,173,29,0.17,4471,4,102,930,106
4862247,57,5,0.09,4461,4,101,928,33
4837771,29,2,0.07,4463,4,101,928,30
5051111,31,11,0.35,4455,4,101,928,76
4960857,10,11,1.1,4448,4,101,927,13
4471223,92,0,0.0,4446,4,101,928,7
5175155,54,2,0.04,4441,4,101,928,11
4486334,169,17,0.1,4445,4,101,931,51
5018387,95,18,0.19,4449,4,101,931,108
5360601,284,107,0.38,4433,4,101,932,365
5327331,70,8,0.11,4435,4,101,933,82
5353917,118,17,0.14,4445,4,101,936,80
5256384,231,51,0.22,4439,4,101,940,238
4672272,94,8,0.09,4445,4,101,941,39
3854963,260,44,0.17,4444,4,101,939,183
5085020,66,11,0.17,4447,4,101,940,81
5360289,277,101,0.36,4432,4,101,937,395
5207903,49,33,0.67,4427,4,101,938,118
3635024,28,11,0.39,4428,4,101,938,90
5137931,513,11,0.02,4426,4,101,938,31
5074148,37,23,0.62,4430,4,101,939,204
4301381,164,23,0.14,4429,4,101,941,108
4613032,57,24,0.42,4420,4,101,939,279
4940895,29,7,0.24,4422,4,101,941,47
2930508,5,0,0.0,4422,4,101,941,47
5164551,81,35,0.43,4428,4,101,943,243
2870173,285,19,0.07,4422,4,101,942,59
4155397,31,6,0.19,4422,4,101,943,13
5360321,149,27,0.18,4430,4,101,944,109
5348826,197,81,0.41,4429,4,101,942,394
4035227,159,6,0.04,4427,4,101,941,9
5311003,66,30,0.45,4430,4,101,942,117
4027965,60,28,0.47,4428,4,101,941,188
4935252,114,33,0.29,4430,4,101,941,193
3980110,119,14,0.12,4429,4,101,942,69
5264739,133,27,0.2,4422,4,101,940,183
5159884,145,26,0.18,4427,4,101,940,55
5224535,22,8,0.36,4429,4,101,941,45
5219854,80,33,0.41,4433,4,101,942,184
4692530,187,40,0.21,4437,4,101,943,201
4773361,81,9,0.11,4434,4,101,943,22
4650888,171,11,0.06,4437,4,101,943,43
4524411,102,5,0.05,4437,4,101,945,53
3623101,46,26,0.57,4440,4,101,946,59
5204624,129,0,0.0,4440,4,101,946,26
4193386,63,26,0.41,4438,4,101,946,60
5168997,102,31,0.3,4419,4,100,941,161
4748299,235,31,0.13,4407,4,100,939,157
4112660,26,5,0.19,4411,4,100,940,33
5388708,212,7,0.03,4408,4,100,940,7
3227153,59,6,0.1,4411,4,100,940,29
3820852,93,4,0.04,4410,4,100,940,116
5116282,291,55,0.19,4398,4,100,938,249
4346771,82,58,0.71,4393,4,100,935,236
3876324,108,40,0.37,4383,4,100,934,102
4736784,39,11,0.28,4386,4,100,936,82
4964811,93,34,0.37,4385,4,100,935,53
4746093,176,46,0.26,4405,4,100,939,272
4348071,45,13,0.29,4402,4,100,938,109
5011029,189,70,0.37,4399,4,100,937,206
3394918,173,27,0.16,4399,4,100,937,118
5106446,166,60,0.36,4399,4,100,935,264
5374398,32,16,0.5,4401,4,100,935,24
4465526,67,12,0.18,4402,4,100,935,72
5333150,233,30,0.13,4403,4,100,936,84
5293143,152,35,0.23,4404,4,100,935,86
5069685,113,51,0.45,4400,4,100,935,148
5113855,260,12,0.05,4398,4,100,935,105
4809311,70,4,0.06,4398,4,100,936,34
5390040,145,37,0.26,4400,4,100,937,140
3421197,55,30,0.55,4406,4,100,938,59
5354597,95,25,0.26,4406,4,100,938,132
5019237,130,44,0.34,4398,4,100,936,156
4465421,57,33,0.58,4404,4,100,938,205
5051893,112,32,0.29,4408,4,100,939,189
4888336,33,7,0.21,4407,4,100,939,27
3870107,39,16,0.41,4404,4,100,939,162
5325100,123,32,0.26,4405,4,100,938,144
5219143,58,3,0.05,4406,4,100,938,5
4791202,164,60,0.37,4414,4,100,942,235
3832925,57,28,0.49,4410,4,100,941,234
5368344,275,14,0.05,4407,4,100,942,59
5255479,248,121,0.49,4421,4,100,943,529
5325020,32,9,0.28,4421,4,100,943,29
3762058,197,84,0.43,4430,4,100,944,413
