Driver_ID,Total_Assigned_Requests,Total_Accepted_Requests,Total_Completed_Trips,Total_Cancelled_Trips,Acceptance_Rate,Completion_Rate,Cancellation_Rate,Average_Ride_Distance,Average_Undiscounted_Fare,Average_Ride_Duration,No_Getting_Rating,Getting_Rating_Rate,Total_Trip
2869108,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2869204,99,47,40,7,47.47,40.4,7.07,4240.19,95.4,892.51,21,21.21,217
2869278,11,3,0,3,27.27,0.0,27.27,4241.0,97.0,996.12,0,0.0,21
2870173,285,49,19,30,17.19,6.67,10.53,4045.92,94.0,904.4,12,4.21,59
2886584,189,58,53,5,30.69,28.04,2.65,4949.07,110.67,865.65,33,17.46,151
2894871,131,63,37,26,48.09,28.24,19.85,4766.17,104.68,1001.88,15,11.45,169
2894948,358,44,33,11,12.29,9.22,3.07,5268.91,112.91,1089.71,18,5.03,57
2895351,118,96,78,18,81.36,66.1,15.25,4625.3,103.36,931.13,31,26.27,152
2895434,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,187
2895664,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2897073,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2903228,9,1,0,1,11.11,0.0,11.11,4241.0,97.0,996.12,0,0.0,11
2904200,6,2,1,1,33.33,16.67,16.67,5233.0,110.0,1023.56,1,16.67,32
2905099,12,2,1,1,16.67,8.33,8.33,4729.5,102.5,1043.56,0,0.0,6
2907066,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
2912701,27,15,10,5,55.56,37.04,18.52,5020.6,106.4,859.71,6,22.22,267
2913912,159,31,15,16,19.5,9.43,10.06,4560.19,101.81,1024.81,7,4.4,75
2914830,9,2,1,1,22.22,11.11,11.11,6644.5,133.5,1267.06,1,11.11,1
2915025,67,29,14,15,43.28,20.9,22.39,4410.0,99.55,914.06,5,7.46,41
2922157,26,13,3,10,50.0,11.54,38.46,4487.92,101.62,1094.17,2,7.69,23
2925573,5,4,4,0,80.0,80.0,0.0,3810.0,99.0,430.75,3,60.0,17
2926142,144,73,46,27,50.69,31.94,18.75,4189.63,96.89,936.22,24,16.67,195
2926170,224,51,33,18,22.77,14.73,8.04,4957.49,108.31,1150.0,12,5.36,133
2926571,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10
2926841,67,26,8,18,38.81,11.94,26.87,4405.23,99.12,941.82,5,7.46,30
2927397,5,1,1,0,20.0,20.0,0.0,4571.0,99.0,2079.0,0,0.0,6
2927864,6,5,5,0,83.33,83.33,0.0,3715.8,90.2,875.0,4,66.67,6
2928430,10,5,2,3,50.0,20.0,30.0,5139.6,111.4,1215.47,1,10.0,2
2928777,172,72,41,31,41.86,23.84,18.02,4767.49,106.25,929.69,22,12.79,180
2929660,14,2,0,2,14.29,0.0,14.29,4241.0,97.0,996.12,0,0.0,1
2930265,22,18,15,3,81.82,68.18,13.64,3986.61,92.72,859.58,5,22.73,50
2930333,127,14,3,11,11.02,2.36,8.66,3940.86,93.71,862.17,1,0.79,13
2930508,5,3,0,3,60.0,0.0,60.0,4241.0,97.0,996.12,0,0.0,0
2930589,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3
2930590,39,2,1,1,5.13,2.56,2.56,6275.0,126.0,1183.56,0,0.0,9
2931334,17,5,4,1,29.41,23.53,5.88,6262.4,127.8,1097.02,2,11.76,11
2931517,109,24,21,3,22.02,19.27,2.75,6026.13,121.71,1334.89,10,9.17,32
2931643,3,1,0,1,33.33,0.0,33.33,4241.0,97.0,996.12,0,0.0,0
2931665,111,11,5,6,9.91,4.5,5.41,3927.36,91.0,884.43,3,2.7,15
2931712,314,16,6,10,5.1,1.91,3.18,4455.88,101.25,1047.27,5,1.59,12
2932118,7,3,2,1,42.86,28.57,14.29,1457.0,62.33,666.71,1,14.29,2
2932585,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2932747,51,9,5,4,17.65,9.8,7.84,4214.11,95.22,782.28,0,0.0,41
2932850,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7
2935294,68,28,25,3,41.18,36.76,4.41,4091.07,92.64,767.44,13,19.12,174
2935390,24,2,0,2,8.33,0.0,8.33,4241.0,97.0,996.12,0,0.0,32
2936464,58,12,3,9,20.69,5.17,15.52,3792.92,89.42,818.51,1,1.72,9
2937666,178,51,37,14,28.65,20.79,7.87,4248.37,96.47,917.05,19,10.67,215
2938121,94,63,50,13,67.02,53.19,13.83,4617.16,102.75,1133.14,24,25.53,145
2939625,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4
2939767,128,11,8,3,8.59,6.25,2.34,5307.18,110.64,1065.4,5,3.91,47
2939921,20,1,0,1,5.0,0.0,5.0,4241.0,97.0,996.12,0,0.0,5
2940018,28,5,2,3,17.86,7.14,10.71,4940.2,109.2,1164.87,1,3.57,10
2940519,264,62,36,26,23.48,13.64,9.85,4036.68,96.03,757.57,17,6.44,166
2940838,125,50,37,13,40.0,29.6,10.4,4062.12,93.5,916.39,17,13.6,89
2942692,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2944084,22,11,10,1,50.0,45.45,4.55,4774.27,104.91,1419.1,7,31.82,27
2948984,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2949302,76,41,29,12,53.95,38.16,15.79,5081.54,112.59,1142.99,10,13.16,31
2950226,190,68,53,15,35.79,27.89,7.89,4467.74,99.35,1055.25,26,13.68,229
2950334,82,13,13,0,15.85,15.85,0.0,2974.62,77.69,643.31,6,7.32,62
2950628,57,8,7,1,14.04,12.28,1.75,3367.5,81.88,899.14,2,3.51,20
2955278,2,1,1,0,50.0,50.0,0.0,1936.0,63.0,470.0,1,50.0,48
2955357,38,15,9,6,39.47,23.68,15.79,5056.6,109.27,1088.05,6,15.79,41
2955461,23,1,0,1,4.35,0.0,4.35,4241.0,97.0,996.12,0,0.0,7
2955780,8,6,4,2,75.0,50.0,25.0,4837.5,110.0,928.87,2,25.0,35
2956093,33,18,8,10,54.55,24.24,30.3,4917.28,110.33,951.01,5,15.15,48
2957882,143,81,63,18,56.64,44.06,12.59,4295.63,98.2,824.02,33,23.08,135
2962047,56,26,18,8,46.43,32.14,14.29,4712.0,103.54,1054.88,10,17.86,56
2969091,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5
2969346,76,39,13,26,51.32,17.11,34.21,3964.44,92.41,869.88,6,7.89,44
2970452,29,3,0,3,10.34,0.0,10.34,4241.0,97.0,996.12,0,0.0,22
2971035,17,3,0,3,17.65,0.0,17.65,4241.0,97.0,996.12,0,0.0,0
2974881,167,63,46,17,37.72,27.54,10.18,4951.14,109.76,1113.22,27,16.17,74
2974966,318,55,16,39,17.3,5.03,12.26,4176.27,98.0,985.91,7,2.2,80
2983535,42,8,4,4,19.05,9.52,9.52,3445.0,87.0,784.06,1,2.38,10
2991424,11,3,3,0,27.27,27.27,0.0,6613.67,129.33,1490.67,2,18.18,6
2998385,25,4,2,2,16.0,8.0,8.0,4888.5,105.0,943.06,1,4.0,2
3000526,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3001706,13,1,0,1,7.69,0.0,7.69,4241.0,97.0,996.12,0,0.0,2
3019419,77,19,16,3,24.68,20.78,3.9,5263.47,112.47,1090.49,8,10.39,31
3020326,30,5,0,5,16.67,0.0,16.67,4241.0,97.0,996.12,0,0.0,3
3023513,94,41,8,33,43.62,8.51,35.11,4362.76,98.98,980.44,5,5.32,34
3029907,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4
3040004,17,1,1,0,5.88,5.88,0.0,107.0,45.0,1538.0,0,0.0,6
3043866,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3045120,47,4,1,3,8.51,2.13,6.38,4593.5,101.5,1007.34,1,2.13,5
3051229,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23
3054217,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7
3058127,14,7,5,2,50.0,35.71,14.29,3367.43,89.43,753.04,1,7.14,37
3060896,213,96,50,46,45.07,23.47,21.6,4548.22,102.32,1012.96,19,8.92,171
3067864,25,6,4,2,24.0,16.0,8.0,4453.0,99.0,1158.87,3,12.0,35
3070639,22,2,0,2,9.09,0.0,9.09,4241.0,97.0,996.12,0,0.0,1
3072522,55,11,3,8,20.0,5.45,14.55,4220.0,97.45,1004.45,2,3.64,12
3074335,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,25
3075330,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3075427,4,1,0,1,25.0,0.0,25.0,4241.0,97.0,996.12,0,0.0,0
3075437,87,41,19,22,47.13,21.84,25.29,4225.63,97.17,846.97,6,6.9,144
3086743,8,4,3,1,50.0,37.5,12.5,3356.75,81.5,705.28,3,37.5,7
3089358,40,15,6,9,37.5,15.0,22.5,4673.53,102.2,949.94,3,7.5,29
3090872,371,117,50,67,31.54,13.48,18.06,4735.57,104.55,996.53,26,7.01,198
3094498,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3096059,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4
3096858,31,3,1,2,9.68,3.23,6.45,3275.0,81.33,665.42,0,0.0,35
3106843,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3109035,83,10,2,8,12.05,2.41,9.64,3880.4,92.4,914.9,1,1.2,14
3109117,76,37,25,12,48.68,32.89,15.79,5099.59,110.73,936.01,9,11.84,67
3110182,208,45,25,20,21.63,12.02,9.62,5158.67,111.93,1037.74,14,6.73,133
3112556,14,3,2,1,21.43,14.29,7.14,3728.0,89.67,994.37,1,7.14,4
3119416,129,36,26,10,27.91,20.16,7.75,3827.22,88.92,775.92,17,13.18,123
3119763,54,22,21,1,40.74,38.89,1.85,6362.41,127.23,1286.23,9,16.67,120
3120350,29,9,6,3,31.03,20.69,10.34,7219.44,141.22,1456.04,4,13.79,27
3132746,20,12,3,9,60.0,15.0,45.0,4471.33,99.33,1097.68,2,10.0,12
3132920,110,43,34,9,39.09,30.91,8.18,5049.91,111.21,1067.56,22,20.0,106
3143007,214,110,93,17,51.4,43.46,7.94,5045.48,113.42,960.13,54,25.23,263
3145120,58,28,6,22,48.28,10.34,37.93,4064.5,94.43,894.27,3,5.17,47
3153368,45,24,21,3,53.33,46.67,6.67,3979.0,93.04,787.6,14,31.11,81
3160469,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5
3173877,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3174270,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3174762,30,7,2,5,23.33,6.67,16.67,3868.57,91.71,899.23,1,3.33,10
3177171,30,1,0,1,3.33,0.0,3.33,4241.0,97.0,996.12,0,0.0,0
3189411,97,35,2,33,36.08,2.06,34.02,4073.6,94.54,962.15,0,0.0,2
3195850,70,26,20,6,37.14,28.57,8.57,4820.81,109.23,815.41,12,17.14,126
3196540,14,4,2,2,28.57,14.29,14.29,4574.25,100.25,856.06,2,14.29,22
3201165,7,6,5,1,85.71,71.43,14.29,5422.17,115.0,1094.52,3,42.86,29
3203592,91,3,3,0,3.3,3.3,0.0,5825.0,121.67,1033.67,1,1.1,5
3207543,9,9,7,2,100.0,77.78,22.22,5211.78,109.0,1019.92,4,44.44,26
3212558,9,4,1,3,44.44,11.11,33.33,4775.75,104.25,747.59,0,0.0,3
3218143,368,25,7,18,6.79,1.9,4.89,4266.24,97.44,922.29,3,0.82,28
3218204,6,2,2,0,33.33,33.33,0.0,5293.5,109.5,1023.0,1,16.67,4
3226970,107,45,28,17,42.06,26.17,15.89,4121.53,94.78,823.69,14,13.08,70
3227153,59,12,6,6,20.34,10.17,10.17,5484.42,115.0,1107.48,5,8.47,29
3229626,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11
3231684,26,14,3,11,53.85,11.54,42.31,4230.36,97.14,1341.74,1,3.85,22
3243390,336,110,38,72,32.74,11.31,21.43,4049.35,94.15,938.68,19,5.65,163
3243415,385,53,24,29,13.77,6.23,7.53,3663.25,87.02,815.28,9,2.34,135
3246262,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3252143,203,15,3,12,7.39,1.48,5.91,3913.93,91.47,958.03,2,0.99,12
3255380,3,2,2,0,66.67,66.67,0.0,8088.5,151.0,1378.0,2,66.67,4
3299607,74,11,2,9,14.86,2.7,12.16,5041.91,108.36,1136.47,1,1.35,16
3313965,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3321615,151,81,38,43,53.64,25.17,28.48,3921.6,93.77,721.98,24,15.89,150
3335707,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3343921,88,48,28,20,54.55,31.82,22.73,5111.48,109.4,1126.09,16,18.18,103
3344762,60,10,0,10,16.67,0.0,16.67,4241.0,97.0,996.12,0,0.0,1
3345345,8,2,0,2,25.0,0.0,25.0,4241.0,97.0,996.12,0,0.0,0
3346396,14,13,10,3,92.86,71.43,21.43,4708.54,103.77,1024.95,5,35.71,49
3349614,29,3,1,2,10.34,3.45,6.9,4786.67,104.0,664.75,0,0.0,1
3350754,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3353278,91,6,2,4,6.59,2.2,4.4,5020.67,107.67,1010.08,2,2.2,10
3355215,147,37,25,12,25.17,17.01,8.16,5376.24,114.68,970.12,14,9.52,119
3355609,42,9,8,1,21.43,19.05,2.38,5804.22,120.78,996.01,4,9.52,52
3358770,38,19,15,4,50.0,39.47,10.53,4169.68,95.42,919.45,5,13.16,47
3358941,55,52,28,24,94.55,50.91,43.64,4539.0,100.58,1047.17,10,18.18,128
3359317,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3
3359321,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2
3360115,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3360438,59,34,27,7,57.63,45.76,11.86,3719.68,89.44,992.44,11,18.64,113
3361083,1,1,0,1,100.0,0.0,100.0,4241.0,97.0,996.12,0,0.0,0
3361417,19,1,1,0,5.26,5.26,0.0,3720.0,91.0,721.0,0,0.0,3
3362531,19,10,8,2,52.63,42.11,10.53,4171.7,93.7,784.62,3,15.79,69
3367068,243,40,1,39,16.46,0.41,16.05,4234.77,96.83,971.32,1,0.41,1
3367258,56,9,5,4,16.07,8.93,7.14,4898.0,109.11,964.17,2,3.57,13
3369332,77,19,7,12,24.68,9.09,15.58,4250.21,96.58,853.03,3,3.9,14
3370384,43,23,15,8,53.49,34.88,18.6,2121.61,67.91,522.78,8,18.6,75
3377506,12,1,0,1,8.33,0.0,8.33,4241.0,97.0,996.12,0,0.0,4
3379506,97,39,28,11,40.21,28.87,11.34,4365.05,96.69,902.75,9,9.28,165
3393179,25,25,24,1,100.0,96.0,4.0,4774.16,106.0,930.24,14,56.0,173
3393833,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3394291,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3394918,173,63,27,36,36.42,15.61,20.81,4411.75,99.67,949.21,15,8.67,118
3399291,95,33,3,30,34.74,3.16,31.58,3991.06,93.24,935.99,2,2.11,3
3399348,69,13,1,12,18.84,1.45,17.39,4046.62,94.23,939.96,0,0.0,100
3399525,101,39,20,19,38.61,19.8,18.81,4164.62,99.95,847.14,13,12.87,86
3399647,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3401681,191,39,13,26,20.42,6.81,13.61,4359.72,99.74,978.83,4,2.09,55
3402457,55,19,7,12,34.55,12.73,21.82,4748.89,105.32,1152.08,1,1.82,21
3415421,31,1,0,1,3.23,0.0,3.23,4241.0,97.0,996.12,0,0.0,0
3419580,240,43,14,29,17.92,5.83,12.08,4100.26,95.79,989.83,6,2.5,146
3419881,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3421197,55,40,30,10,72.73,54.55,18.18,5121.43,110.6,997.18,19,34.55,59
3421486,80,12,3,9,15.0,3.75,11.25,4532.75,104.25,999.68,3,3.75,35
3422046,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
3422168,117,29,16,13,24.79,13.68,11.11,6274.1,128.69,1074.71,9,7.69,125
3424125,55,18,13,5,32.73,23.64,9.09,4593.44,102.72,888.15,8,14.55,40
3427546,13,1,0,1,7.69,0.0,7.69,4241.0,97.0,996.12,0,0.0,11
3433573,69,27,20,7,39.13,28.99,10.14,4347.56,98.48,1007.92,9,13.04,122
3434085,17,2,1,1,11.76,5.88,5.88,7389.0,142.5,1716.56,0,0.0,2
3434940,80,41,19,22,51.25,23.75,27.5,3890.78,93.46,845.87,10,12.5,76
3435189,227,60,33,27,26.43,14.54,11.89,5171.9,115.05,999.72,16,7.05,146
